Area,Canyon,num_routes,total_score,avg_path_position,first_scenic_order,avg_stars,Latitude,Longitude,5.0-5.6,5.11,5.7-5.8,5.9-5.10,unknown,5.12+,num_trad,num_sport,avg_trad_grade,score_per_route,score_rank
Out of Control Area,Pine Creek Canyon,7,31.9,0.6958,590,1.7,36.1253,-115.4942,,,,,,,7,0,5.9+,4.56,60
Brass Wall,Pine Creek Canyon,21,107.3,0.7067,597,2.6333,36.1252,-115.4911,,,,,,,21,0,5.8,5.11,5
Beer and Ice Gully,Pine Creek Canyon,3,10.0,0.7273,618,2.3333,36.1266,-115.489,,,,,,,3,0,5.11,3.33,119
Straight Shooter Wall,Pine Creek Canyon,9,39.1,0.7292,621,1.9,36.1268,-115.4881,0.0,3.0,0.0,0.0,0.0,0.0,6,3,5.8+,4.34,47
Stick Gully,Pine Creek Canyon,18,87.9,0.7465,630,1.9944,36.129,-115.4878,,,,,,,17,0,5.8+,4.88,10
The Hog Wart,Pine Creek Canyon,2,9.5,0.7482,648,1.75,36.1288,-115.4868,,,,,,,2,0,5.8+,4.75,122
Flight Path Area,Pine Creek Canyon,22,115.0,0.7517,650,2.3182,36.1292,-115.4866,,,,,,,22,0,5.7+,5.23,3
Right of Flight Path Area,Pine Creek Canyon,2,7.0,0.7589,672,1.5,36.1301,-115.4866,,,,,,,2,0,5.4,3.5,130
The Abutment,Pine Creek Canyon,8,32.5,0.7717,674,0.8125,36.1321,-115.487,,,,,,,8,0,5.9,4.06,57
Little Manhattan,Pine Creek Canyon,2,12.0,0.7829,682,3.0,36.1349,-115.4895,,,,,,,2,0,5.8+,6.0,112
Frigid Air Buttress,Icebox Canyon,1,4.6,0.8182,684,1.6,36.144,-115.4925,,,,,,,1,0,5.7,4.6,139
Smears for Fears Area,Icebox Canyon,5,24.9,0.8182,685,2.78,36.1441,-115.4928,,,,,,,5,0,5.7+,4.98,72
Sunnyside Crags,Icebox Canyon,20,103.0,0.8182,686,2.6,36.145,-115.494,,,,,,,20,0,5.8+,5.15,6
Refrigerator Wall,Icebox Canyon,5,30.7,0.8182,689,2.94,36.1437,-115.4958,0.0,0.0,0.0,1.0,0.0,0.0,4,1,5.9+,6.14,63
