Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Latitude,Longitude,Area,Canyon,Path_Position,Distance_to_Road,Scenic_Loop_Order
Guinness,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106560941/guinness,2.1,-1,Sport,5.11b,1,50.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,75
Full Sail,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106516318/full-sail,2.4,-1,Sport,5.10d,1,45.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,76
Deaf Elevated,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/123488111/deaf-elevated,2.7,-1,TR,5.9,1,25.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,77
Unknown,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/125953301/unknown,2.0,-1,TR,5.9,1,30.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,78
The Broon,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106607248/the-broon,1.8,-1,TR,5.8-,1,25.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,79
Warrantless Wiretap,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105828548/warrantless-wiretap,1.3,-1,Sport,5.8,1,50.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,80
The One the Only,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105828527/the-one-the-only,2.3,-1,TR,5.9,1,30.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,81
The Boila,Newcastle Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106607290/the-boila,2.5,-1,TR,5.10a,1,30.0,36.15122,-115.43254,Newcastle Crag,First Pullout (Calico I),0.0370835875534005,0.1571262457542905,82
Low Tide,Tsunami Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105808861/low-tide,1.8,-1,Sport,5.10-,1,30.0,36.15177,-115.43311,Tsunami Wall,First Pullout (Calico I),0.0375940614195741,0.1065829914570542,83
Tremor,Tsunami Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105808856/tremor,1.8,-1,Sport,5.10-,1,30.0,36.15177,-115.43311,Tsunami Wall,First Pullout (Calico I),0.0375940614195741,0.1065829914570542,84
Women and Children First,Tsunami Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107539033/women-and-children-first,1.0,-1,Trad,5.7,1,30.0,36.15177,-115.43311,Tsunami Wall,First Pullout (Calico I),0.0375940614195741,0.1065829914570542,85
Action by the Fraction,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107020606/action-by-the-fraction,1.9,-1,Trad,5.10c PG13,1,70.0,36.14801,-115.43051,Tiger Stripe Wall,First Pullout (Calico I),0.2673226328567505,0.0819718602516967,86
White Tigers,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926137/white-tigers,2.2,-1,Sport,5.10b PG13,1,80.0,36.14801,-115.43051,Tiger Stripe Wall,First Pullout (Calico I),0.2673226328567505,0.0819718602516967,87
A Fraction of the Action,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732635/a-fraction-of-the-action,3.0,-1,Sport,5.10a,1,120.0,36.14801,-115.43051,Tiger Stripe Wall,First Pullout (Calico I),0.2673226328567505,0.0819718602516967,88
Unknown,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926132/unknown,0.0,-1,Trad,5.9 R,1,75.0,36.14801,-115.43051,Tiger Stripe Wall,First Pullout (Calico I),0.2673226328567505,0.0819718602516967,89
Bengal,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106619121/bengal,1.3,-1,Trad,5.9,1,60.0,36.14801,-115.43051,Tiger Stripe Wall,First Pullout (Calico I),0.2673226328567505,0.0819718602516967,90
Slabulous,The Slab > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/110182112/slabulous,1.9,-1,Sport,5.7,1,60.0,36.14878,-115.43033,The Slab,First Pullout (Calico I),0.2686458052333396,0.1205255226517746,91
Slab Stick,The Slab > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/111334191/slab-stick,2.1,-1,Sport,5.7,1,50.0,36.14878,-115.43033,The Slab,First Pullout (Calico I),0.2686458052333396,0.1205255226517746,92
